CDTS,EID,START_DATE,CALL_NUMBER,PRIORITY,REPORT_DATE,OFFENSE_DATE,OFFENSE_TIME,CALLTYPE_CODE,CALL_TYPE,FINAL_DISPO_CODE,FINAL_DISPO,ADDRESS,CITY,STATE
20220614132510PD,9122875,6/14/2022 12:00:00 AM,P221650490,6,6/14/2022 12:00:00 AM,6/14/2022 12:00:00 AM,13:17:04,1195,VEHICLE STOP,N,No report required; dispatch record only,MCKEE RD & RIDGE VISTA AV,San Jose,CA
20221109071751PS,9318809,11/9/2022 12:00:00 AM,P223130090,3,11/9/2022 12:00:00 AM,11/9/2022 12:00:00 AM,04:53:13,459R,BURGLARY  REPORT  (460),R,Report taken,[5800]-[5900] SANTA TERESA BL ,San Jose,CA
20220501022105PD,9063332,5/1/2022 12:00:00 AM,P221210102,2,5/1/2022 12:00:00 AM,5/1/2022 12:00:00 AM,02:03:05,WELCK,WELFARE CHECK,G,Gone on Arrival/unable to locate,LITTLE MARKET ST & BASSETT ST,San Jose,CA
20220806135359PD,9193465,8/6/2022 12:00:00 AM,P222180480,3,8/6/2022 12:00:00 AM,8/6/2022 12:00:00 AM,13:45:15,904,FIRE (SPECIFY TYPE),GD,No Disposition,,San Jose,CA
20221127195729PS,9341479,11/27/2022 12:00:00 AM,P223310719,4,11/27/2022 12:00:00 AM,11/27/2022 12:00:00 AM,19:49:48,415,DISTURBANCE,N,No report required; dispatch record only,[500]-[600] COLEMAN AV ,San Jose,CA
20220420114325PD,9050162,4/20/2022 12:00:00 AM,P221100340,4,4/20/2022 12:00:00 AM,4/20/2022 12:00:00 AM,10:48:55,1062,MEET THE CITIZEN,DUPNCAN,No Disposition,[2000]-[2100] EVANS LN ,San Jose,CA
20220930204048PD,9268057,9/30/2022 12:00:00 AM,P222730900,3,9/30/2022 12:00:00 AM,9/30/2022 12:00:00 AM,19:11:18,484,THEFT,R,Report taken,N 4TH ST & E GISH RD,San Jose,CA
20221201131136PS,9346096,12/1/2022 12:00:00 AM,P223350409,3,12/1/2022 12:00:00 AM,12/1/2022 12:00:00 AM,13:06:58,1033A,"ALARM, AUDIBLE",CAN,Canceled,[1600]-[1700] YORK ST ,San Jose,CA
20221023093845PD,9297407,10/23/2022 12:00:00 AM,P222960293,5,10/23/2022 12:00:00 AM,10/23/2022 12:00:00 AM,08:29:17,22500,PARKING VIOLATION,R,Report taken,[13000]-[13100] WOOL AV ,San Jose,CA
20220302074322PS,8988059,3/7/2022 12:00:00 AM,P220610150,2,3/2/2022 12:00:00 AM,3/2/2022 12:00:00 AM,07:10:56,WELCKEMS,WELFARE CHECK (COMBINED EVENT),N,No report required; dispatch record only,[1000]-[1100] BLOSSOM HILL RD ,San Jose,CA
20221222093020PS,9371822,12/22/2022 12:00:00 AM,P223560236,2,12/22/2022 12:00:00 AM,12/22/2022 12:00:00 AM,08:50:41,415,DISTURBANCE,G,Gone on Arrival/unable to locate,[2000]-[2100] RADIO AV ,San Jose,CA
20220912165316PD,9244206,9/12/2022 12:00:00 AM,P222550685,2,9/12/2022 12:00:00 AM,9/12/2022 12:00:00 AM,16:25:39,415F,"DISTURBANCE, FAMILY",N,No report required; dispatch record only,[3900]-[4000] HAMILTON AV ,San Jose,CA
20220721151447PD,9172456,7/27/2022 12:00:00 AM,P222020453,3,7/21/2022 12:00:00 AM,7/21/2022 12:00:00 AM,12:30:50,10851,STOLEN VEHICLE,R,Report taken,[800]-[900] COLEMAN AV ,San Jose,CA
20220407134429PD,9034561,4/7/2022 12:00:00 AM,P220970503,2,4/7/2022 12:00:00 AM,4/7/2022 12:00:00 AM,13:39:12,1066,SUSPICIOUS PERSON,CAN,Canceled,[3000]-[3100] PARK LN ,San Jose,CA
20221018103520PD,9290893,10/18/2022 12:00:00 AM,P222910275,5,10/18/2022 12:00:00 AM,10/18/2022 12:00:00 AM,09:47:10,22500,PARKING VIOLATION,N,No report required; dispatch record only,[200]-[300] SAN JOSE AV ,San Jose,CA
20221225213317PS,9375965,12/25/2022 12:00:00 AM,P223590645,2,12/25/2022 12:00:00 AM,12/25/2022 12:00:00 AM,21:29:30,911UNK,UNK TYPE 911 CALL,CAN,Canceled,[4300]-[4400] KINGSPARK DR ,San Jose,CA
20220831171532PD,9227570,8/31/2022 12:00:00 AM,P222430622,3,8/31/2022 12:00:00 AM,8/31/2022 12:00:00 AM,16:38:50,1066,SUSPICIOUS PERSON,N,No report required; dispatch record only,[5000]-[5100] BROKEN ARROW DR ,San Jose,CA
20220925183845PD,9261404,9/25/2022 12:00:00 AM,P222680638,2,9/25/2022 12:00:00 AM,9/25/2022 12:00:00 AM,17:02:18,415,DISTURBANCE,A,Arrest Made,[700]-[800] W TAYLOR ST ,San Jose,CA
20220624225526PD,9136959,6/24/2022 12:00:00 AM,P221751092,2,6/24/2022 12:00:00 AM,6/24/2022 12:00:00 AM,22:25:35,1066,SUSPICIOUS PERSON,U,Unfounded event,[4900]-[5000] EDGAR CT ,San Jose,CA
